camera_id,obs_latitude,obs_longitude
ATWI01,48.2,16.4
AUPE01,-32,115.9
BEBR01,50.8,4.4
BEWA01,50.6,5.6
BRRJ01,-22.9,-43.2
CAQC01,45.6,-73.6
CAQC02,45.5,-72.3
CAQC03,46.2,-72.9
CAQC04,45.7,-74.9
CAQC05,45.5,-71.2
CAQC06,46,-74.2
CHJU01,47.4,7.4
CHVA01,46.2,7.6
CLAN01,-24.6,-70.4
DEBB01,52.5,12.6
DEBY01,48.9,10.5
DEBY02,48.5,11.7
DEBY03,48.8,13.8
DEMV01,53.2,11.3
DENI01,53.2,8.2
DENI03,53.8,7.7
DENW01,51.5,8.7
DKSD01,54.9,9.8
ENGL01,51.6,-0.2
ENNI01,54.4,-6.6
ENNW01,53.5,-2.2
ENNW02,53.6,-2.1
ENSE01,51.6,-1.3
ENSE02,51.3,1.1
ENSE03,50.8,0.3
ENSE04,51.4,-0.6
