camera_id,datetime
CAQC05,2021-06-25T08:14:11
CAQC05,2021-06-25T08:13:30
CLAN01,2021-06-25T04:14:04
FRPC03,2021-06-25T03:38:00
FRLR07,2021-06-25T03:35:12
FRPC02,2021-06-25T03:31:15
FRLR07,2021-06-25T03:30:15
FRLR05,2021-06-25T03:29:24
FRAQ07,2021-06-25T03:29:03
FRPC02,2021-06-25T03:28:21
FRLR05,2021-06-25T03:25:00
FRAQ07,2021-06-25T03:24:21
FRAQ06,2021-06-25T03:23:45
FRAU03,2021-06-25T03:23:13
FRPA06,2021-06-25T03:22:29
FRPC02,2021-06-25T03:22:11
FRPC02,2021-06-25T03:21:12
FRAU03,2021-06-25T03:21:07
FRPC02,2021-06-25T03:20:55
FRLR05,2021-06-25T03:20:53
FRPA07,2021-06-25T03:19:00
FRPL05,2021-06-25T03:17:04
FRPA01,2021-06-25T03:15:02
FRAU03,2021-06-25T03:13:46
FRAU03,2021-06-25T03:12:30
FRPA01,2021-06-25T03:11:28
FRCO01,2021-06-25T03:11:06
FRCO01,2021-06-25T03:10:50
FRCO01,2021-06-25T03:07:36
FRCE04,2021-06-25T03:05:20
FRRA07,2021-06-25T03:04:58
FRPA02,2021-06-25T03:02:37
FRRA07,2021-06-25T03:02:23
FRIF02,2021-06-25T03:01:37
FRRA07,2021-06-25T02:59:07
ITUM01,2021-06-25T02:57:27
ITMA01,2021-06-25T02:54:27
ITPI03,2021-06-25T02:53:45
ITER04,2021-06-25T02:53:40
FRPA05,2021-06-25T02:53:01
ITER03,2021-06-25T02:51:41
ITPU01,2021-06-25T02:48:03
CAQC04,2021-06-25T02:44:21
ITPI06,2021-06-25T02:43:05
BEWA01,2021-06-25T02:38:51
